Latitude,Longitude,Ort,Person,Impfstatus,Infektionsstatus,Leistung,Quelle
50.9777974,11.0287364,Erfurt,Bernd Höcke,unbekannt,positiv,Die Vorsehung meint es nicht gut mit Bernd. Er erklärt 2020 Pandemie für beendet. Kurz nach Aufhebung seiner Immunität als Abgeordneter infiziert er sich mit Corona. ,https://www.mdr.de/nachrichten/thueringen/corona-hoecke-positiv-infiziert-100.html
51.1563185,14.991018,Görlitz,Tino Chrupalla,unbekannt,positiv,verbittet sich Fragen nach seinem Impfstatus und ist gegen Druck auf Impfgegner. Er bleibt standhaft und infiziert sich.,https://www.tagesspiegel.de/politik/tino-chrupalla-afd-fraktionschef-mit-corona-infiziert/27730058.html
50.0012314,8.2762513,Mainz,Werner Müller,ungeimpft,schwere Symptome,"Bekennender Corona-Kritiker und Impfskeptiker. ""Ich bin ein Anhänger der natürlichen Immunisierung"" Müller glaubt nicht an die Gefährlichkeit des Virus.
Im September 2020 erkrankte er dann selbst, kam mit einer Lungenentzündung ins Krankenhaus. Vollkommen uneinsichtig: ""Warum sollte ich jetzt selbst diese Meinung ändern? Dann müsste man mir unterstellen, dass ich vorher eigentlich Unsinn geredet habe."" ",https://www.tagesschau.de/inland/erkrankte-impfgegner-101.html
52.5170365,13.3888599,Berlin,Alice Weidel,ungeimpft,positiv,"Die Vorsitzende der AfD-Bundestagsfraktion, Alice Weidel, hat sich mit dem Coronavirus infiziert. Die 42-Jährige ist nach eigenen Angaben nicht geimpft.",https://www.rtl.de/cms/alice-weidel-afd-ungeimpfte-politikerin-hat-corona-quarantaene-4864186.html
48.2083537,16.3725042,Wien,Johann Biacsics,ungeimpft,verstorben,"Im Krankenhaus wollte er sich nicht behandeln lassen – stattdessen setzte er auf Selbsttherapie mit Chlordioxid.
",https://www.news.de/panorama/856008893/johann-biacsics-ist-tot-todesursache-corona-chlorbleiche-prominenter-impfgegner-verstorben-nach-behandlung-mit-chlordioxid/1/
31.4649685,-100.4405094,"San Angelo, Texas",Caleb Wallace,unbekannt,verstorben,Lehnte Masken ab und behandelte seine Corona-Infektion mit fragwürdigen Mitteln. ,https://www.t-online.de/nachrichten/panorama/id_90712300/usa-bekannter-maskengegner-caleb-wallace-stirbt-an-coronavirus.html
51.3406321,12.3747329,Leipzig,Harald Hänisch,unbekannt,verstorben,"Sächsischer AfD-Stadtrat, der sich nach einer Querdenker-Demo mit Corona infiziert hatte.",https://www.cicero.de/innenpolitik/harald-haenisch-afd-boehlen-corona-querdenker-leipzig/plus
27.7567667,-81.4639835,Florida,Robert David Steele,unbekannt,verstorben,"Ehemaliger CIA-Beamter. Deckt als erster auf, dass  Covid-19 ein ""hoax"" - Schwindel - ist, stirbt allerdings an ebendieser Krankheit.",https://www.blick.ch/ausland/freunde-von-robert-steele-69-wittern-verschwoerung-bekannter-corona-leugner-stirbt-an-corona-id16793177.html
25.7741728,-80.19362,Miami,Marc Bernier ,ungeimpft,verstorben,"Knallharter Impfgegner (""Mr. AntiVax""), der in seiner täglichen Radiosendung Verschwörungstheorien verbreitete und seinen Zuhörern von der Impfung gegen Covid-19 abriet. ",https://www.news.de/promis/855935801/marc-bernier-ist-tot-todesursache-coronavirus-infektion-impfverweigerer-radiomoderator-mit-65-jahren-gestorben/1/
32.0852997,34.7818064,Tel Aviv,Hai Shoulian ,ungeimpft,verstorben,Israelischer Aktivist gegen Corona-Beschränkungen und Leugner der  Pandemie. Agitiert noch wenige Stunden vor seinem Ableben gegen die Impfung. Lehnt im Krankenhaus die Behandlung ab und macht auf Anraten seiner persönlichen Ärzte lieber Atemübungen und inhaliert mit Tee. ,https://www.timesofisrael.com/anti-vaxx-doctors-advised-late-covid-denier-activist-not-to-get-treated-tv/
50.00665615,9.531100059587882,"Lohr, Deutschland",Gottfried Walter,ungeimpft,verstorben,"Vehementer Impfgegner, ehemaliger Bezirksvorsitzender der AfD",https://www.volksverpetzer.de/kommentar/ungeimpfter-afd-politiker-walter-stirbt/
39.7392364,-104.9848623,Denver,Bob Enyart,,, Erzkonservativer Radiomoderator und Impfgegner. Auf Sendung machte er regelmäßig gegen die Impfung Stimmung. Vor Gericht klagte er erfolgreich gegen die Corona-Beschränkungen und die Maskenpflicht für Kirchen in seinem Heimat-Bundesstaat Colorado.,https://www.radioszene.de/157629/moderator-bob-enyart-an-covid-19-verstorben.html
-33.3869179,-70.5470822,Tennesse ,Phil Valentine ,ungeimpft,verstorben,Radikaler Impfgegner und Verharmloser von COVID 19. Nach der Infektion und mit schweren Symptomen Einsicht in die Notwendigkeit der Impfung. Aber tragischerweise zu spät.,https://www.fr.de/panorama/corona-usa-impfgegner-impfskeptiker-impfung-stirbt-tot-moderator-phil-valentine-covid-19-90937852.html
48.438979599999996,8.009902759217347,"Ortenau, Deutschland ",Thomas Seitz,ungeimpft,schwere Symptome,"Lag mit Covid-19 auf Intensivstation: AfD-Politiker Seitz. Der AfD-Mann braucht auch nach der Behandlung ein Beatmungsgerät - doch verteidigt weiter seine ""Protestmaske"" und  hält Corona-Auflagen weiter für unangemessen",https://www.tagesspiegel.de/politik/lag-mit-covid-19-auf-intensivstation-afd-politiker-seitz-haelt-corona-auflagen-weiter-fuer-unangemessen/26783368.html
52.707755,-2.7540658,"Shrewsbury, UK",Gary Matthews,ungeimpft,verstorben,Gary Matthews leugnete die Pandemie bis zu seinem Tod. Vorher hing er Verschwörungstheorie an. Aber dann infizierte er sich mit dem Virus. Am Tag nach einem positiven Test starb er an Covid-19. Was andere Verschwörer nicht glauben. ,https://www.rtl.de/cms/england-corona-leugner-46-stirbt-nur-einen-tag-nach-positivem-test-am-virus-4693972.html
48.1371079,11.5753822,"München, Deutschland",Joshua Kimmich,ungeimpft,Symptome,Wollte vor der Impfung die Langzeitstudien zu Impfnachwirkungen abwarten. Jetzt hat er selbst teilgenommen: Als Mitglied der Kontrollgruppe. ,https://www.sportschau.de/fussball/bundesliga/interview-long-covid-spitzensportler-predel-100.html
46.5218269,6.6327025,"Lausanne, schweiz",François de Siebenthal ,ungeimpft,schwere Symptome,"Bekannt dafür, öffentlich über Covid-Massnahmen und die Impfstoffe zu schimpfen. Als er nicht zum Interview mit RTS erschien, wurde bekannt: Er liegt auf der Intensivstation im Koma.
 https://www.bernerzeitung.ch/prominenter-impfgegner-aus-der-romandie-liegt-im-covid-koma-296540875341",https://www.bernerzeitung.ch/prominenter-impfgegner-aus-der-romandie-liegt-im-covid-koma-296540875341
53.866444,10.684738,Lübeck,Winfried Stöcker,"""geimpft""",unbekannt,"Unternehmer, Arzt und Erfinder: hat einen eigenen Corona-Impfstoff entwickelt. Querdenker sehen gerade den Verzicht auf die umfangreichen Studien und Zulassungsverfahren internationaler Behörden als Vorteil. Den Atem des Staatsanwalts im Nacken spürend dann die Kehrtwende: Stöcker empfiehlt die vorhandenen Impfstoffe und ruft zur Impfung auf. ",https://www.deutschlandfunk.de/ermittlungen-gegen-unternehmer-stoecker-und-drei-weitere-maenner-100.html
50.6080651,9.0284647,Hessen,Erika Steinbach,geimpft,unbekannt,"führt Beschwerden, die Wochen nach der Impfung auftraten, kurzerhand auf den Impfstoff zurück und nutzt die Gelegenheit für populistische Ausfälle",https://twitter.com/SteinbachErika/status/1436189701862576128
